YEAR,Region,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1887,Connecticut River,5.29667,4.75667,4.51,2.96333,0.92333,4.86,6.95667,7.67667,1.38333,2.16,3.32667,4.11333
1887,Northeast,5.40333,4.87556,4.96556,4.03222,1.69667,2.42333,4.60556,5.74444,1.52889,2.69556,2.93556,3.83222
1887,Southeast,6.18333,4.24333,5.13333,5.35667,2.54,3.39,3.69333,5.10333,1.46333,2.96667,2.61333,4.06
1888,Central,3.945,4.125,7.9,2.935,4.7,2.29,1.665,5.25,8.295,5.57,6.31,5.35
1888,Connecticut River,3.64667,4.36,6.87333,2.78333,4.24667,4.43,3.51667,4.15,9.16,5.26333,4.74667,4.86333
1888,Northeast,3.83889,3.30667,5.15111,2.85556,4.71556,2.16,2.28889,5.56,7.69778,4.84778,6.42222,5.24111
1888,Southeast,3.83,3.61667,5.63667,2.13667,4.86667,1.35333,3.59,5.27667,8.41667,3.94667,8.99,3.97667
1889,Central,5.925,1.835,1.99,3.65,2.975,3.455,10.52,4.195,3.925,4.98,5.62,2.625
1889,Connecticut River,3.73333,2.51667,2.52333,2.67333,3.41,4.18,8.75333,2.62,3.31,5.29,5.8,3.55667
1889,Northeast,5.39889,1.90333,2.39556,3.57111,4.34778,3.45222,6.90875,4.19444,4.035,4.32889,6.29889,2.99556
1889,Southeast,5.84667,2.46,2.39333,5.15667,4.30667,2.43,6.99333,6.42333,3.17,4.10333,6.43333,2.11
1890,Central,2.455,3.245,7.73,2.88,5.25,2.705,2.56,4.855,4.765,8.87,1.04,5.325
1890,Connecticut River,3.04,4.04667,6.06,2.20667,5.60333,2.21,5.48,5.13333,5.47333,6.38667,1.24,3.26667
1890,Northeast,2.51889,3.39556,6.52222,2.46333,5.70333,2.92,2.32667,3.79111,5.13,7.81375,1.34333,4.75333
1890,Southeast,2.68,3.4,9.07667,3.43,5.33333,3.51,1.36333,3.41667,6.31,10.1233,0.93,3.99
1891,Central,8.405,5.4,5.7,3.19,1.76,3.045,3.88,4.04,2.32,3.49,3.01,3.8
1891,Connecticut River,7.31667,4.77,2.99667,2.86667,1.85333,3.80667,5.33333,3.59,2.61,3.61667,2.78333,4.81667
1891,Northeast,6.095,4.712,4.997,2.777,1.976,3.861,3.251,3.479,2.257,4.368,2.473,3.378
1891,Southeast,8.25667,5.61,5.29667,3.92,2.24667,2.07,2.53,3.43,2.23667,5.51667,2.74,3.83
1892,Central,5.535,1.965,3.425,0.695,6.31,3.92,4.095,6.495,2.27,1.305,6.435,1.295
1892,Connecticut River,5.86667,1.87333,2.6,0.68333,6.29333,3.56333,5.19667,6.12667,2.18,0.84667,5.34,1.49333
1892,Northeast,4.584,2.352,3.366,0.758,5.379,3.83,2.492,4.625,2.15,1.923,4.919,1.144
1892,Southeast,4.29,2.87667,5.44333,1.52,4.86667,2.92333,1.69333,3.85667,2.57,1.9,6.76333,1.6
1893,Central,3.06,7.43,4.14,3.54,6.08,2.27,0.86,3.89667,2.28333,4.92,1.88333,4.72667
1893,Connecticut River,3.14667,6.56667,3.57333,3.93667,5.26333,3.57667,2.15,3.27667,2.87667,4.79,1.85667,4.73667
1893,Northeast,2.284,5.78,2.529,3.106,5.427,2.606,2.281,6.151,1.811,3.715,1.945,4.925
1893,Southeast,3.47,7.67667,6.3,3.89667,4.75667,2.87667,2.18333,5.74667,2.26,2.77333,2.81667,5.95667
1894,Central,3.02333,3.22333,1.45,3.4,3.58,1.26667,1.68,2.20667,3.78,3.68667,3.30333,3.78
1894,Connecticut River,2.53333,2.38,1.54667,2.13333,3.38667,2.22333,1.79667,0.90667,3.61,4.21333,3.79333,2.74667
1894,Northeast,2.886,2.895,1.108,2.837,4.268,0.584,3.191,1.875,2.397,5.123,3.3,3.838
1894,Southeast,3.894,4.47,1.386,3.704,4.256,1.032,1.724,1.492,3.152,7.64,4.764,5.238
1895,Central,3.65333,0.93333,2.73,4.11667,2.3,2.98,4.30333,3.82333,3.22,7.44667,5.88,3.19333
1895,Connecticut River,2.87667,1.02,2.36333,5.31667,2.19333,3.28333,4.80667,3.27,4.76667,6.22333,5.09667,4.00667
1895,Northeast,3.383,1.093,2.771,4.293,2.331,2.955,3.652,3.652,2.225,8.034,7.502,2.446
1895,Southeast,3.50667,1.045,3.30167,5.03833,3.41167,2.13833,3.28833,2.935,2.40333,6.09833,5.445,3.24167
1896,Central,1.73,5.27667,5.90333,1.29333,2.14333,2.89667,3.04333,2.63667,6.74,3.48667,2.7,1.59
1896,Connecticut River,1.26,4.85,5.55333,1.49,2.69333,2.70667,5.18,2.39667,5.62667,3.64,2.58667,1.30333
1896,Northeast,2.213,5.065,5.23333,1.395,2.158,2.493,2.943,2.556,7.696,3.416,3.248,1.809
1896,Southeast,2.37286,4.79571,5.54714,1.03143,2.69429,4.00429,2.05143,2.98286,8.00429,3.72143,3.67857,2.43429
1897,Central,3.29333,2.49,3.70667,2.36333,3.97667,3.79333,7.81333,4.72667,1.95,0.78,6.39667,5.04
1897,Connecticut River,3.31667,2.61333,3.42,2.26,4.75667,5.27333,13.2125,4.4375,1.6725,0.845,6.59,5.9925
